Product name,Description,Colours,Price,Sale Price,Discount,Product Link
Nike Air Ghost Racer,Men's Shoe,2 Colours,"₹9,995","₹5,997",40%,https://www.nike.com/in/t/air-ghost-racer-shoe-CClwQd/AT5410-003
Nike Swoosh Ultra Breathe,Women's Medium-Support Sports Bra,1 Colour,"₹3,695","₹2,957",20%,https://www.nike.com/in/t/swoosh-ultra-breathe-support-sports-bra-M3T69Q/CJ0150-532
Nike Air Max 720 SE,Women's Shoe,1 Colour,"₹15,995","₹11,197",30%,https://www.nike.com/in/t/air-max-720-se-shoe-gt8fV7/CJ0632-100
Nike ACG MOC 3.0,Shoe,1 Colour,"₹7,995","₹6,397",20%,https://www.nike.com/in/t/acg-moc-3-shoe-FlT80K/CW2463-300
Nike Sportswear City Ready,Women's Cropped Jacket,1 Colour,"₹7,995","₹6,397",20%,https://www.nike.com/in/t/sportswear-city-ready-cropped-jacket-FQbKn7/CJ4009-010
NikeLab Collection,Women's T-Shirt,1 Colour,"₹3,095","₹2,477",20%,https://www.nike.com/in/t/nikelab-collection-t-shirt-zgX3Z4/923832-010
Nike Sportswear,Women's Trousers,1 Colour,"₹4,495","₹2,697",40%,https://www.nike.com/in/t/sportswear-trousers-83Shnz/CJ2049-051
Nike Sportswear Windrunner,Men's Woven Trousers,2 Colours,"₹3,995","₹3,197",20%,https://www.nike.com/in/t/sportswear-windrunner-woven-trousers-QT09tl/CJ5485-499
Nike Air Max Tailwind 99,Shoe,2 Colours,"₹15,995","₹9,597",40%,https://www.nike.com/in/t/air-max-tailwind-99-shoe-995B05/CQ6569-001
Nike Drop-Type Premium,Men's Shoe,2 Colours,"₹6,995","₹5,597",20%,https://www.nike.com/in/t/drop-type-shoe-PS60d2/CN6916-100
Nike Yoga,Men's Short-Sleeve Top,2 Colours,"₹2,495","₹1,997",20%,https://www.nike.com/in/t/yoga-short-sleeve-top-B5P1z2/BV4035-814
Nike x MMW Joyride CC3 Setter,Shoe,2 Colours,"₹16,995","₹8,497",50%,https://www.nike.com/in/t/mmw-joyride-cc3-setter-shoe-JtXqVN/CU7623-002
Nike Yoga Luxe,Women's Infinalon Jumpsuit,1 Colour,"₹3,695","₹2,957",20%,https://www.nike.com/in/t/yoga-luxe-infinalon-jumpsuit-5Xs3jH/CJ5279-010
Nike Sportswear,Older Kids' (Boys') Trousers,1 Colour,"₹3,295","₹2,307",30%,https://www.nike.com/in/t/sportswear-older-trousers-1WMq3t/CJ7831-402
Nike Sportswear,Women's T-Shirt,2 Colours,"₹1,495","₹1,197",20%,https://www.nike.com/in/t/sportswear-t-shirt-qm15gz/CT8906-100
Nike Sportswear,Women's Printed Jacket,2 Colours,"₹5,495","₹4,397",20%,https://www.nike.com/in/t/sportswear-printed-jacket-Rdx0R6/CJ3882-623
Nike MX-720-818,Men's Shoe,1 Colour,"₹15,995","₹12,797",20%,https://www.nike.com/in/t/mx-720-818-shoe-s6Cxx2/CT1266-101
Nike Dri-FIT KD,Men's Fleece Basketball Shorts,2 Colours,"₹2,995","₹2,097",30%,https://www.nike.com/in/t/dri-fit-kd-fleece-basketball-shorts-NMj7Z5/CD0370-347
Nike CruzrOne,Unisex Shoe,3 Colours,"₹12,995","₹10,397",20%,https://www.nike.com/in/t/cruzrone-shoe-l6XXkk/CD7307-100
Nike Sportswear,Women's Short-Sleeve Top,1 Colour,"₹2,495","₹1,747",30%,https://www.nike.com/in/t/sportswear-short-sleeve-top-7xlXcc/CJ3632-010
Nike AlphaDunk,Basketball Shoe,1 Colour,"₹15,995","₹9,597",40%,https://www.nike.com/in/t/alphadunk-basketball-shoe-qh0qTV/BQ5401-900
Nike Sportswear,Men's T-Shirt,2 Colours,"₹1,695","₹1,357",20%,https://www.nike.com/in/t/sportswear-t-shirt-JZNtqV/CT6869-100
PG 4 EP,Basketball Shoe,1 Colour,"₹8,995","₹8,097",10%,https://www.nike.com/in/t/pg-4-ep-basketball-shoe-9FgFQx/CD5086-700
