Stay Name,Stay Type,Stay Size,Amenities,Price,Rating,num of reviews,link
Spacious 2Bhk Fully Furnished Flat,Entire flat in Bengaluru,4 guests - 2 bedrooms - 7 beds - 1.5 bathrooms,Wifi - Washing machine - Self check-in - Indoor fireplace,"Rs.1,050",4.52,25,https://www.airbnb.co.in/rooms/26610488?previous_page_section_name=1000&federated_search_id=a6921ba4-5ae3-490a-adbb-55963f3924ad
Clover - Abaco,Entire flat in Bengaluru,2 guests - Studio - 1 bed - 1 bathroom,Wifi - Self check-in - Air conditioning - Kitchen,"Rs.1,310",4.36,39,https://www.airbnb.co.in/rooms/15850031?previous_page_section_name=1000&federated_search_id=a6921ba4-5ae3-490a-adbb-55963f3924ad
Anns Avenue Plaza,Entire flat in Bengaluru,2 guests - 1 bedroom - 2 beds - 1.5 bathrooms,Wifi - Washing machine - Lift - Self check-in,Rs.750,4.36,11,https://www.airbnb.co.in/rooms/37193424?previous_page_section_name=1000&federated_search_id=a6921ba4-5ae3-490a-adbb-55963f3924ad
Sanitized & Hygienic Private Room with Big Terrace,Room in boutique hotel in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Washing machine - Lift - Self check-in,Rs.900,4.78,9,https://www.airbnb.co.in/rooms/46322001?previous_page_section_name=1000&federated_search_id=a6921ba4-5ae3-490a-adbb-55963f3924ad
Paradise-Manyata Tech Park:BR2-Place to unwind,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 0 shared bathrooms,Wifi - Washing machine - Air conditioning - Kitchen,Rs.900,4.79,19,https://www.airbnb.co.in/rooms/35634152?previous_page_section_name=1000&federated_search_id=a6921ba4-5ae3-490a-adbb-55963f3924ad
The Nest Koramangala: Premium studio suite,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Air conditioning - Kitchen,"Rs.1,200",4.69,42,https://www.airbnb.co.in/rooms/22620200?previous_page_section_name=1000&federated_search_id=a6921ba4-5ae3-490a-adbb-55963f3924ad
Lovely room with a resort feel in city,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1.5 bathrooms,Wifi - Washing machine - Lift - Air conditioning,"Rs.1,500",5.0,15,https://www.airbnb.co.in/rooms/22630416?previous_page_section_name=1000&federated_search_id=a6921ba4-5ae3-490a-adbb-55963f3924ad
⚡COUPLE FRIENDLY MACHU PICCHU | FULLY STOCKED ⭐,Private room in Bengaluru,2 guests - 1 bedroom - 2 beds - 1 private bathroom,Wifi - Washing machine - Lift - Self check-in,Rs.928,4.34,47,https://www.airbnb.co.in/rooms/31916911?previous_page_section_name=1000&federated_search_id=a6921ba4-5ae3-490a-adbb-55963f3924ad
⚡LITTLE KOREA | LUXURY STAY | BEST LOCATION,Entire flat in Bengaluru,2 guests - 1 bedroom - 2 beds - 1 bathroom,Wifi - Washing machine - Lift - Self check-in,"Rs.1,070",4.13,46,https://www.airbnb.co.in/rooms/31907159?previous_page_section_name=1000&federated_search_id=a6921ba4-5ae3-490a-adbb-55963f3924ad
Spacious 1BHK flat available for stay @ BTM Layout,Entire flat in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Washing machine - Kitchen - Free parking,"Rs.1,129",4.75,4,https://www.airbnb.co.in/rooms/45962325?previous_page_section_name=1000&federated_search_id=a6921ba4-5ae3-490a-adbb-55963f3924ad
