Stay Name,Stay Type,Stay Size,Amenities,Price,Rating,num of reviews,link
Spacious One Bedroom Flat-Wifi-Amenities-Bangalore,Entire flat in Bangalore,4 guests - 1 bedroom - 2 beds - 1 bathroom,Wifi - Air conditioning - Kitchen - Free parking,"Rs.1,700",4.80,5,https://www.airbnb.co.in/rooms/35984353?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
PEACE HAVEN - 2BHK @ RT NAGAR,Entire flat in Bengaluru,3 guests - 2 bedrooms - 2 beds - 2 bathrooms,Wifi - Kitchen - Breakfast - Washing machine,"Rs.1,750",4.88,16,https://www.airbnb.co.in/rooms/37901725?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
Entire premium flat 1 BHK with kitchen - P3,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Air conditioning - Kitchen - Washing machine,"Rs.1,799",4.85,27,https://www.airbnb.co.in/rooms/34992117?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
PrivateStudio/AC-WIFI-Private Kitchen Nr. Manyata!,Entire flat in Bengaluru,4 guests - 1 bedroom - 1 bed - 1.5 bathrooms,Wifi - Air conditioning - Kitchen - Free parking,"Rs.1,200",4.88,8,https://www.airbnb.co.in/rooms/42876504?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
JINI Space- Single private room with attached bath,Entire house in Bengaluru,1 guest - Studio - 2 beds - 1.5 bathrooms,Wifi - Air conditioning - Free parking - Washing machine,Rs.734,4.94,48,https://www.airbnb.co.in/rooms/23735221?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
Private Studio Rooms-Wifi-Amenities-Bangalore,Entire apartment in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Kitchen - Breakfast - Lift,Rs.999,4.83,29,https://www.airbnb.co.in/rooms/30528644?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
Ferns home,Entire townhouse in Bengaluru,5 guests - 2 bedrooms - 2 beds - 1 bathroom,Wifi - Free parking - Pets allowed - Washing machine,Rs.999,4.71,48,https://www.airbnb.co.in/rooms/29123377?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
Private Studio Rooms-Wifi-Balcony-Bannerghatta Rd,Entire apartment in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Kitchen - Lift - Washing machine,Rs.999,4.50,20,https://www.airbnb.co.in/rooms/33354045?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
"Accommodation  in Koramangala, Bangalore",Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Air conditioning - Kitchen - Free parking,Rs.999,4.29,21,https://www.airbnb.co.in/rooms/6838275?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
"Kadackal Farms - Alphonso, Hivehomes, Bangalore",Entire cottage in Bylakere,3 guests - 1 bedroom - 1 bed - 1 bathroom,Air conditioning - Pool - Kitchen - Free parking,"Rs.2,733",4.49,70,https://www.airbnb.co.in/rooms/11727064?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
Tranquil Escape Pad in the Heart of the City,Entire flat in Bengaluru,4 guests - 1 bedroom - 1 bed - 1.5 bathrooms,Wifi - Air conditioning - Lift - Washing machine,"Rs.2,250",4.49,79,https://www.airbnb.co.in/rooms/27820753?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
Takshashila,Private room in Bengaluru,1 guest - 1 bedroom - 1 bed - 1 shared bathroom,Wifi - Free parking - Pets allowed,Rs.740,4.56,16,https://www.airbnb.co.in/rooms/24399916?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
Well Lit 1bhk -WIFI -Tranquil Serviced Apartments,Entire serviced apartment in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Kitchen - Free parking - Lift,"Rs.1,170",4.78,50,https://www.airbnb.co.in/rooms/21734038?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
Royal Stay 2 BHK Apartment,Entire flat in Bengaluru,5 guests - 2 bedrooms - 2 beds - 2 bathrooms,Wifi - Air conditioning - Kitchen - Free parking,"Rs.1,365",4.0,9,https://www.airbnb.co.in/rooms/45513129?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
"Spacious bedroom @ 80 feet road, RMV 2nd stage",Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Free parking - Washing machine,"Rs.1,000",5.0,3,https://www.airbnb.co.in/rooms/41606081?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
Casa Cottage - Heritage property,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Air conditioning - Kitchen - Free parking,"Rs.2,000",4.73,26,https://www.airbnb.co.in/rooms/8296002?previous_page_section_name=1000&federated_search_id=213a5690-377c-4725-a99a-76d8a9ea77e8
"Homely stay in a room with balcony, good locality",Private room in Bengaluru,1 guest - 1 bedroom - 2 beds - 1 private bathroom,Kitchen - Wifi,Rs.750,5.0,4,https://www.airbnb.co.in/rooms/32625913?previous_page_section_name=1000&federated_search_id=010c892b-53a2-49ad-9d9a-5a4bfa3534e1
"Managed residence By Aura, Mysore road.",Entire serviced apartment in Bengaluru,2 guests - 1 bedroom - 0 beds - 1 bathroom,Kitchen - Wifi - Free parking,"Rs.1,500",5.0,4,https://www.airbnb.co.in/rooms/39238990?previous_page_section_name=1000&federated_search_id=010c892b-53a2-49ad-9d9a-5a4bfa3534e1
"Spacious,Airy,Independnt studio with Kitchn,balcny",Entire guest suite in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Kitchen - Wifi - Self check-in,"Rs.1,200",4.88,25,https://www.airbnb.co.in/rooms/22961075?previous_page_section_name=1000&federated_search_id=010c892b-53a2-49ad-9d9a-5a4bfa3534e1
Marvel series - Private Room in a villa,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Kitchen - Wifi - Free parking,Rs.945,5.0,3,https://www.airbnb.co.in/rooms/38484277?previous_page_section_name=1000&federated_search_id=010c892b-53a2-49ad-9d9a-5a4bfa3534e1
Spacious 2BHK-MGRoad-AC-Tranquil-Vybhav-GardenView,Entire serviced apartment in Bengaluru,5 guests - 2 bedrooms - 2 beds - 2 bathrooms,Kitchen - Wifi - Self check-in - Free parking,"Rs.1,797",5.0,4,https://www.airbnb.co.in/rooms/45449476?previous_page_section_name=1000&federated_search_id=010c892b-53a2-49ad-9d9a-5a4bfa3534e1
1 Bedroom Apt in the Richmond Town,Entire flat in Bengaluru,3 guests - 1 bedroom - 0 beds - 1.5 bathrooms,Kitchen - Wifi - Self check-in - Free parking,"Rs.2,400",4.75,4,https://www.airbnb.co.in/rooms/5710224?previous_page_section_name=1000&federated_search_id=010c892b-53a2-49ad-9d9a-5a4bfa3534e1
★ Sunny 3 Bedroom Penthouse - ROOM 3★,Room in serviced apartment in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Kitchen - Wifi - Free parking,"Rs.1,499",4.25,4,https://www.airbnb.co.in/rooms/35817920?previous_page_section_name=1000&federated_search_id=010c892b-53a2-49ad-9d9a-5a4bfa3534e1
"Single room-Wifi-Balcony-near BTM Layout,Bangalore",Entire apartment in Bengaluru,3 guests - 1 bedroom - 1 bed - 1 bathroom,Kitchen - Wifi - Self check-in - Free parking,Rs.999,4.67,6,https://www.airbnb.co.in/rooms/41634440?previous_page_section_name=1000&federated_search_id=010c892b-53a2-49ad-9d9a-5a4bfa3534e1
Studio Room walk-able,Hotel room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Kitchen - Wifi,"Rs.1,376",4.33,3,https://www.airbnb.co.in/rooms/24883294?previous_page_section_name=1000&federated_search_id=010c892b-53a2-49ad-9d9a-5a4bfa3534e1
"Super-Cozy 1 BHK, with terrace near E city. kudlu",Entire flat in Bengaluru,2 guests - 1 bedroom - 2 beds - 1 bathroom,Kitchen - Wifi - Free parking,"Rs.1,750",4.86,22,https://www.airbnb.co.in/rooms/37455664?previous_page_section_name=1000&federated_search_id=010c892b-53a2-49ad-9d9a-5a4bfa3534e1
"Entire  1 BHK Flat , couple friendly ,2 km Forum",Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Kitchen - Wifi - Self check-in,"Rs.1,214",4.60,5,https://www.airbnb.co.in/rooms/34161156?previous_page_section_name=1000&federated_search_id=010c892b-53a2-49ad-9d9a-5a4bfa3534e1
2bhk Electronic City ★ 50 inch TV ★ Beautiful View,Entire serviced apartment in Bengaluru,4 guests - 2 bedrooms - 2 beds - 1 bathroom,Kitchen - Wifi - Free parking,"Rs.1,382",4.81,37,https://www.airbnb.co.in/rooms/36285578?previous_page_section_name=1000&federated_search_id=010c892b-53a2-49ad-9d9a-5a4bfa3534e1
Premium 1 BHK Entire Flat with kitchen - P1,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Kitchen - Wifi - Self check-in,"Rs.1,799",5.0,6,https://www.airbnb.co.in/rooms/34611483?previous_page_section_name=1000&federated_search_id=010c892b-53a2-49ad-9d9a-5a4bfa3534e1
Spacious Private Cottage near Nimhans Hospital.,Entire cottage in Bengaluru,3 guests - Studio - 2 beds - 1.5 bathrooms,Kitchen - Wifi,"Rs.1,829",4.0,3,https://www.airbnb.co.in/rooms/45530015?previous_page_section_name=1000&federated_search_id=010c892b-53a2-49ad-9d9a-5a4bfa3534e1
Penthouse in Indiranagar 1km from Manipal hospital,Entire house in Bengaluru,3 guests - 1 bedroom - 2 beds - 1 bathroom,Wifi - Washing machine - Self check-in - Air conditioning,"Rs.3,100",4.90,20,https://www.airbnb.co.in/rooms/40645988?previous_page_section_name=1000&federated_search_id=5a4cc652-a979-47fe-b2e4-d9e5d88d9790
"Kadackal Farms - Neelam, Hivehomes, Bangalore",Entire cottage in Bylakere,3 guests - 1 bedroom - 1 bed - 1.5 bathrooms,Washing machine - Air conditioning - Pool - Kitchen,"Rs.3,415",4.62,34,https://www.airbnb.co.in/rooms/40388474?previous_page_section_name=1000&federated_search_id=5a4cc652-a979-47fe-b2e4-d9e5d88d9790
Victoriya Inn - Your Den @ Our Home,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Self check-in - Air conditioning - Kitchen,Rs.800,4.71,7,https://www.airbnb.co.in/rooms/39856690?previous_page_section_name=1000&federated_search_id=5a4cc652-a979-47fe-b2e4-d9e5d88d9790
The Onyx Penthouse - A Self Serviced Residence,Entire apartment in Bangalore,4 guests - 2 bedrooms - 3 beds - 3 bathrooms,Wifi - Washing machine - Self check-in - Air conditioning,"Rs.2,799",5.0,4,https://www.airbnb.co.in/rooms/45527852?previous_page_section_name=1000&federated_search_id=5a4cc652-a979-47fe-b2e4-d9e5d88d9790
The House by the Forest,Private room in Bengaluru,4 guests - 2 bedrooms - 4 beds - 3 shared bathrooms,Wifi - Pets allowed - Free parking,"Rs.1,500",4.33,6,https://www.airbnb.co.in/rooms/19390362?previous_page_section_name=1000&federated_search_id=5a4cc652-a979-47fe-b2e4-d9e5d88d9790
Experience 5 star cozy getaway in the city,Entire house in Bengaluru,4 guests - 2 bedrooms - 3 beds - 2.5 bathrooms,Wifi - Washing machine - Self check-in - Air conditioning,"Rs.3,300",4.79,56,https://www.airbnb.co.in/rooms/32490344?previous_page_section_name=1000&federated_search_id=5a4cc652-a979-47fe-b2e4-d9e5d88d9790
The House of Joy 2,Private room in Bengaluru,4 guests - 1 bedroom - 2 beds - 2 bathrooms,Wifi - Washing machine - Dryer - Air conditioning,Rs.800,4.88,40,https://www.airbnb.co.in/rooms/21513178?previous_page_section_name=1000&federated_search_id=5a4cc652-a979-47fe-b2e4-d9e5d88d9790
The 'Salgame Retreat',Entire guest suite in Alakabelalu,3 guests - 1 bedroom - 2 beds - 1 bathroom,Wifi - Self check-in - Kitchen - Free parking,"Rs.2,500",4.89,47,https://www.airbnb.co.in/rooms/27530015?previous_page_section_name=1000&federated_search_id=5a4cc652-a979-47fe-b2e4-d9e5d88d9790
Home coming :),Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Lift - Pets allowed,"Rs.1,281",4.57,8,https://www.airbnb.co.in/rooms/19919125?previous_page_section_name=1000&federated_search_id=5a4cc652-a979-47fe-b2e4-d9e5d88d9790
"Fully serviced rooms by Sankey Tank, Bangalore",Hotel room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Lift - Breakfast - Air conditioning,"Rs.1,700",4.59,17,https://www.airbnb.co.in/rooms/36088385?previous_page_section_name=1000&federated_search_id=5a4cc652-a979-47fe-b2e4-d9e5d88d9790
COUPLE FRIENDLY LITTLE GREECE,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Lift - Self check-in,"Rs.1,042",4.0,11,https://www.airbnb.co.in/rooms/31918514?previous_page_section_name=1000&federated_search_id=5a4cc652-a979-47fe-b2e4-d9e5d88d9790
"Entire 1 BHK ,couple friendly, 1 km frm forum mall",Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Lift - Self check-in,"Rs.1,350",4.75,4,https://www.airbnb.co.in/rooms/40808329?previous_page_section_name=1000&federated_search_id=5a4cc652-a979-47fe-b2e4-d9e5d88d9790
★ Sunny 3 Bedroom Penthouse - Master ★,Room in serviced apartment in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Lift - Air conditioning - Kitchen,"Rs.1,499",4.44,9,https://www.airbnb.co.in/rooms/35746752?previous_page_section_name=1000&federated_search_id=5a4cc652-a979-47fe-b2e4-d9e5d88d9790
A minimalist's dream! Perfect for work / yoga trip,Private room in Bengaluru,2 guests - 1 bedroom - 0 beds - 1 private bathroom,Wifi - Washing machine - Self check-in - Dryer,Rs.800,5.0,3,https://www.airbnb.co.in/rooms/45857788?previous_page_section_name=1000&federated_search_id=5a4cc652-a979-47fe-b2e4-d9e5d88d9790
